1646454960,2022-03-05 4:36,43.5,70.7,3.07,17.6,0.0926,1459
1646455200,2022-03-05 4:40,42.7,69.5,3.13,17.2,0.111,1462
1646455440,2022-03-05 4:44,41.9,68.6,3.63,16.5,0.104,1464
1646455680,2022-03-05 4:48,42.4,68.6,3.4,17.1,0.104,1463
1646455920,2022-03-05 4:52,41.8,68.5,3.37,16.8,0.104,1464
1646456160,2022-03-05 4:56,42.9,69.7,3.09,17.6,0.1,1460
1646456400,2022-03-05 5:00,44,70.8,3.1,17.9,0.119,1458
1646456640,2022-03-05 5:04,42.5,68.7,3.03,16.9,0.0926,1463
1646456880,2022-03-05 5:08,40.9,609,2.45,18.7,0.0852,851
1646457120,2022-03-05 5:12,40.2,963,2.22,20.1,0.0964,455
1646457360,2022-03-05 5:16,37,897,1.41,30.7,0.063,366
1646457600,2022-03-05 5:20,43.6,81.1,3.84,17.6,0.519,1448
1646457840,2022-03-05 5:24,44,70.7,3.53,18,0.115,1458
1646458080,2022-03-05 5:28,44.1,70.9,3.13,18,0.107,1458
1646458320,2022-03-05 5:32,43.5,70.5,2.92,17.7,0.107,1459
1646458560,2022-03-05 5:36,44.7,71.8,2.83,18.4,0.115,1456
1646458800,2022-03-05 5:40,42.4,69.1,2.97,17.1,0.1,1463
1646459040,2022-03-05 5:44,43.1,69.9,3.28,17.1,0.104,1461
1646459280,2022-03-05 5:48,42.8,69.7,3.29,17.1,0.107,1462
1646459520,2022-03-05 5:52,42.3,69.2,3.08,16.8,0.107,1463
1646459760,2022-03-05 5:56,41.4,68.3,2.78,16.3,0.104,1466
1646460000,2022-03-05 6:00,41.9,68.1,2.87,16.4,0.107,1466
1646460240,2022-03-05 6:04,42.8,69.9,2.97,17.3,0.0963,1461
1646460480,2022-03-05 6:08,39.6,584,2.34,17.4,0.0815,848
1646460720,2022-03-05 6:12,40,830,2.22,18.6,0.0888,607
1646460960,2022-03-05 6:16,36.5,1057,1.87,28.7,0.0889,271
1646461200,2022-03-05 6:20,41.2,189,2.91,16.2,0.0778,1346
1646461440,2022-03-05 6:24,41.6,68.1,3.25,16.3,0.1,1465
1646461680,2022-03-05 6:28,43.6,71,3.02,17.7,0.1,1459
1646461920,2022-03-05 6:32,43.8,71,2.86,17.4,0.107,1459
1646462160,2022-03-05 6:36,42.7,69.2,2.79,16.7,0.0963,1464
1646462400,2022-03-05 6:40,42.4,69,2.96,16.5,0.1,1465
1646462640,2022-03-05 6:44,41.7,68.5,3.08,16.3,1.15,1465
1646462880,2022-03-05 6:48,42.6,68.7,3.12,16.8,0.774,1463
1646463120,2022-03-05 6:52,43.4,70.6,3.14,17.8,0.107,1459
1646463360,2022-03-05 6:56,43.3,70.3,3.03,17.9,0.0963,1459
1646463600,2022-03-05 7:00,44.2,72,3.11,18.3,0.104,1460
1646463840,2022-03-05 7:04,42,70.4,3.37,17,0.115,1462
1646464080,2022-03-05 7:08,38.4,570,2.22,17.4,0.0852,835
1646464320,2022-03-05 7:12,35.8,788,1.9,15.5,0.0964,566
1646464560,2022-03-05 7:16,35.5,1001,1.7,31.3,0.0889,307
1646464800,2022-03-05 7:20,42,146,3.4,16.6,0.104,1388
1646465040,2022-03-05 7:24,41.4,67.8,2.89,15.9,0.0926,1468
1646465280,2022-03-05 7:28,41.5,67.7,2.98,15.9,0.104,1468
1646465520,2022-03-05 7:32,43,69.9,2.87,17,0.0963,1462
1646465760,2022-03-05 7:36,41.6,67.9,3.05,16.1,0.0889,1466
1646466000,2022-03-05 7:40,44.7,71.7,3.29,18.2,0.1,1455
1646466240,2022-03-05 7:44,43.7,70.4,3.41,17.6,0.107,1459
1646466480,2022-03-05 7:48,43.3,69.7,3.33,17,0.0889,1462
1646466720,2022-03-05 7:52,41.4,68.7,3.06,15.7,0.1,1467
1646466960,2022-03-05 7:56,39.5,65,3.3,14.6,0.1,1474
1646467200,2022-03-05 8:00,39.4,65,3.03,14.7,0.0963,1474
1646467440,2022-03-05 8:04,39.6,64.8,3.14,14.8,0.0852,1474
1646467680,2022-03-05 8:08,36.2,559,2.47,15.7,0.104,854
1646467920,2022-03-05 8:12,38.4,916,2.2,18.7,0.0852,487
1646468160,2022-03-05 8:16,32.9,906,0.93,26.5,0.0815,277
